BmpSubmittedId,AgencyId,StateUniqueIdentifier,StateId,BmpId,GeographyId,LoadSourceId,UnitId,Amount,isValid,ErrorMessage,RowIndex,Cost,LrsegId,LoadSourceIdOriginal,TotalAmount,Capital
1,9,SU0,8,70,11905,19,1,427.7718100041,True,,1,12970.0411487787,1971,9,427.771850585938,156688.539941678
2,9,SU1,8,142,11905,19,1,427.771845122407,True,,2,3926.9456687693,1971,9,427.771850585938,3738.72582846063
3,9,SU2,8,70,11904,19,1,40.7489325134487,True,,3,1235.50762137218,1970,9,40.748950958252,14925.9268385476
4,9,SU3,8,142,11904,19,1,40.7489427690558,True,,4,374.075307055522,1970,9,40.748950958252,356.145750474854
5,9,SU4,8,70,11911,19,1,2.72252804388446,True,,5,82.5470494597273,1977,9,2.7225387096405,997.234820458229
6,9,SU5,8,142,11911,19,1,2.72253129158881,True,,6,24.9928380876359,1977,9,2.7225387096405,23.7949228653482
7,9,SU6,8,70,11906,19,1,427.520688677247,True,,7,12962.4271502252,1972,9,427.520690917969,156596.55670872
8,9,SU7,8,142,11906,19,1,427.520688980363,True,,8,3924.64005530869,1972,9,427.520690917969,3736.53072383665
9,9,SU8,8,70,11907,19,1,16.6694326233551,True,,9,505.41719205302,1973,9,16.6694564819336,6105.84661804774
10,9,SU9,8,142,11907,19,1,16.6694476596972,True,,10,153.025534603132,1973,9,16.6694564819336,145.690968730419
11,9,SU10,8,142,11908,19,1,945.608766710499,True,,11,8680.68876697928,1974,9,945.608764648438,8264.62040461709
12,9,SU11,8,70,11910,19,1,85.3190380847655,True,,12,2586.87320869278,1976,9,85.3190612792969,31251.5111891133
13,9,SU12,8,142,11910,19,1,85.3190531421527,True,,13,783.22893388227,1976,9,85.3190612792969,745.688504934433
14,9,SU13,8,142,11909,19,1,164.745448393685,True,,14,1512.36326653035,1975,9,164.745452880859,1439.87518125357
15,9,SU14,8,70,11909,15,1,500.701080890916,True,,15,15181.2566198107,1975,4,500.701080322266,183401.803197985
16,9,SU15,8,48,11905,15,1,1300.10157430389,True,,16,98963.7354068478,1971,4,1300.1015625,94257.3641370321
17,9,SU16,8,48,11907,15,1,50.6624863239203,True,,17,3856.42859812549,1973,4,50.6624870300293,3673.03025848423
18,9,SU17,8,48,11910,15,1,259.305177320509,True,,18,19738.31080984,1976,4,259.30517578125,18799.6253557369
19,9,SU18,8,48,11904,15,1,123.845863591132,True,,19,9427.14747670979,1970,4,123.845863342285,8978.82511035707
20,9,SU19,8,48,11906,15,1,1299.3383912878,True,,20,98905.6419135671,1972,4,1299.33837890625,94202.0333683657
21,9,SU20,8,70,11908,15,1,2873.9326395881,True,,21,87137.6367552567,1974,4,2873.9326171875,1052692.81111226
22,9,SU21,8,48,11911,15,1,8.27442753720554,True,,22,629.84944685848,1977,4,8.27445030212402,599.895996447402
23,9,SU22,8,48,11905,17,1,38.064780541916,True,,23,2897.49119939869,1971,7,38.0647811889648,2759.69658928891
24,9,SU23,8,48,11908,17,1,84.1439055713744,True,,24,6405.03432320116,1974,7,84.1439056396484,6100.43315392465
25,9,SU24,8,48,11906,17,1,38.0424338467166,True,,25,2895.79016889874,1972,7,38.0424346923828,2758.07645388696
26,9,SU25,8,70,11906,17,1,38.0424210630697,True,,26,1153.44619502265,1972,7,38.0424346923828,13934.5587362613
27,9,SU26,8,48,11909,17,1,14.6596692605469,True,,27,1115.89406437681,1975,7,14.6596841812134,1062.82602138965
28,9,SU27,8,48,11910,17,1,7.59199872669164,True,,28,577.902963927815,1976,7,7.59201860427856,550.419907685144
29,9,SU28,8,48,11904,17,1,3.62597490343589,True,,29,276.009219608578,1970,7,3.6259982585907,262.883180499102
30,9,SU29,8,48,11907,17,1,1.48328628199446,True,,30,112.907755859386,1973,7,1.48331224918365,107.538255444599
31,9,SU30,8,48,11911,17,1,0.242229501082184,True,,31,18.438510287679,1977,7,0.242261961102486,17.5616388284583
32,9,SU31,8,70,11911,17,1,0.242213125002518,True,,32,7.34390187615878,1977,7,0.242261961102486,88.7202476268647
33,9,SU32,8,48,11908,16,1,476.815463760316,True,,33,36295.1944110481,1974,6,476.815460205078,34569.1211226229
34,9,SU33,8,137,11908,16,1,476.815460898989,True,,34,4377.16607656525,1974,6,476.815460205078,4167.36701912277
35,9,SU34,8,142,11908,16,1,476.815452646863,True,,35,4377.16600081073,1974,6,476.815460205078,4167.36694699919
36,9,SU35,8,48,11906,16,1,215.57380803854,True,,36,16409.4788599848,1972,6,215.573806762695,15629.1010827942
37,9,SU36,8,70,11906,16,1,215.573763624291,True,,37,6536.19644730062,1972,6,215.573806762695,78962.5157200026
38,9,SU37,8,137,11906,16,1,215.57380534045,True,,38,1978.96759881324,1972,6,215.573806762695,1884.1150093346
39,9,SU38,8,142,11906,16,1,215.573799168157,True,,39,1978.96754215158,1972,6,215.573806762695,1884.11495538876
40,9,SU39,8,48,11904,16,1,20.5473143017603,True,,40,1564.06162108488,1970,6,20.5473232269287,1489.68028687762
41,9,SU40,8,137,11904,16,1,20.5473203561841,True,,41,188.624407140315,1970,6,20.5473232269287,179.583575210141
42,9,SU41,8,142,11904,16,1,20.5473158141914,True,,42,188.62436544482,1970,6,20.5473232269287,179.583535513126
43,9,SU42,8,48,11905,16,1,215.700440867709,True,,43,16419.118151289,1971,6,215.700439453125,15638.2819629089
44,9,SU43,8,137,11905,16,1,215.700438300934,True,,44,1980.13008942913,1971,6,215.700439453125,1885.22178138025
45,9,SU44,8,142,11905,16,1,215.700433052483,True,,45,1980.13004124835,1971,6,215.700439453125,1885.22173550879
46,9,SU45,8,48,11909,16,1,83.0715407937487,True,,46,6323.40591338296,1975,6,83.0715408325195,6022.68670754678
47,9,SU46,8,137,11909,16,1,83.0715381334388,True,,47,762.596745416389,1975,6,83.0715408325195,726.045224272689
48,9,SU47,8,142,11909,16,1,83.0715321361137,True,,48,762.596690360944,1975,6,83.0715408325195,726.045171856069
49,9,SU48,8,48,11907,16,1,8.40541534420419,True,,49,639.820239086986,1973,6,8.40543651580811,609.392612454804
50,9,SU49,8,137,11907,16,1,8.40543343701697,True,,50,77.1618815169505,1973,6,8.40543651580811,73.4634863156773
51,9,SU50,8,142,11907,16,1,8.40542864178695,True,,51,77.1618374967375,1973,6,8.40543651580811,73.463444405368
52,9,SU51,8,48,11910,16,1,43.0214380903222,True,,52,3274.79198559724,1976,6,43.0214385986328,3119.05426154836
53,9,SU52,8,137,11910,16,1,43.0214358688107,True,,53,394.936794404783,1976,6,43.0214385986328,376.00733964658
54,9,SU53,8,142,11910,16,1,43.0214310819612,True,,54,394.936750461503,1976,6,43.0214385986328,376.007297809517
55,9,SU54,8,48,11911,16,1,1.37279176358193,True,,55,104.496912814341,1977,6,1.37281775474548,99.5274028596896
56,9,SU55,8,137,11911,16,1,1.37281495447436,True,,56,12.6024417010245,1977,6,1.37281775474548,11.9984023878935
57,9,SU56,8,142,11911,16,1,1.37281111670384,True,,57,12.6024064702899,1977,6,1.37281775474548,11.99836884578
58,9,SU57,8,48,11906,14,1,643.612310214569,True,,58,48991.770821267,1972,3,643.6123046875,46661.8924905563
59,9,SU58,8,70,11906,14,1,643.6122480584,True,,59,19514.3231647158,1972,3,643.6123046875,235748.735840928
60,9,SU59,8,137,11906,14,1,643.612307488522,True,,60,5908.36117915952,1972,3,643.6123046875,5625.17142013852
61,9,SU60,8,142,11906,14,1,643.612301103197,True,,61,5908.36112054223,1972,3,643.6123046875,5625.17136433077
62,9,SU61,8,48,11911,14,1,4.09863022152442,True,,62,311.987743719663,1977,3,4.09865379333496,297.15069106052
63,9,SU62,8,137,11911,14,1,4.09865097369752,True,,63,37.6256171893522,1977,3,4.09865379333496,35.8222085720095
64,9,SU63,8,142,11911,14,1,4.09864701723039,True,,64,37.6255808689828,1977,3,4.09865379333496,35.8221739924877
65,9,SU64,8,48,11907,14,1,25.0950755770066,True,,65,1910.23722184742,1973,3,25.0950813293457,1819.39297933298
66,9,SU65,8,137,11907,14,1,25.0950783703734,True,,66,230.372827098438,1973,3,25.0950813293457,219.330979213256
67,9,SU66,8,142,11907,14,1,25.0950734329185,True,,67,230.3727817726,1973,3,25.0950813293457,219.330936059901
68,9,SU67,8,48,11909,14,1,248.016526857718,True,,68,18879.0187056072,1975,3,248.016525268555,17981.1981971846
69,9,SU68,8,137,11909,14,1,248.016524149722,True,,69,2276.79176738309,1975,3,248.016525268555,2167.6643643021
70,9,SU69,8,142,11909,14,1,248.016517899774,True,,70,2276.79171000856,1975,3,248.016525268555,2167.66430967754
71,9,SU70,8,70,11908,14,1,1423.56959032709,True,,71,43162.6295442783,1974,3,1423.56958007812,521439.317405199
72,9,SU71,8,137,11908,14,1,1423.56959204604,True,,72,13068.3692894216,1974,3,1423.56958007812,12441.9979086532
73,9,SU72,8,142,11908,14,1,1423.56958941737,True,,73,13068.3692652904,1974,3,1423.56958007812,12441.9978856786
74,9,SU73,8,48,11905,14,1,643.990423155168,True,,74,49020.5527793439,1971,3,643.990417480469,46689.3056787497
75,9,SU74,8,137,11905,14,1,643.990420557867,True,,75,5911.8322572515,1971,3,643.990417480469,5628.47612827805
76,9,SU75,8,142,11905,14,1,643.99041513596,True,,76,5911.8322074784,1971,3,643.990417480469,5628.47608089059
77,9,SU76,8,48,11910,14,1,128.443832981036,True,,77,9777.14491929795,1976,3,128.443832397461,9312.17789112508
78,9,SU77,8,137,11910,14,1,128.443830471848,True,,78,1179.11440292951,1976,3,128.443832397461,1122.59904892549
79,9,SU78,8,142,11910,14,1,128.443825534,True,,79,1179.11435760006,1976,3,128.443832397461,1122.5990057687
80,9,SU79,8,48,11904,14,1,61.3456229351818,True,,80,4669.62898631683,1970,3,61.3456230163574,4447.55766280068
81,9,SU80,8,137,11904,14,1,61.3456205040251,True,,81,563.152814948148,1970,3,61.3456230163574,536.160709164281
82,9,SU81,8,142,11904,14,1,61.3456158184442,True,,82,563.152771934514,1970,3,61.3456230163574,536.160668212305
83,9,SU82,8,145,11910,110,1,0.0663284067927023,True,,83,0.131993530150035,1976,29,0.0663493946194649,0.126023971324742
84,9,SU83,8,145,11906,110,1,0.125154084824367,True,,84,0.249056629994053,1972,29,0.125172406435013,0.237792758182392
85,9,SU84,8,145,11905,106,1,3852.87723257798,True,,85,7667.22572957408,1971,25,3852.87719726562,7320.46665003841
86,9,SU85,8,145,11907,106,1,132.838659460819,True,,86,264.348933593877,1973,25,132.838668823242,252.393449808435
87,9,SU86,8,145,11904,106,1,743.389102549112,True,,87,1479.34432116224,1970,25,743.389099121094,1412.43927711954
88,9,SU87,8,145,11909,106,1,2509.09108639753,True,,88,4993.09128585964,1975,25,2509.09106445312,4767.27300433391
89,9,SU88,8,145,11906,106,1,3944.4746460486,True,,89,7849.50458325417,1972,25,3944.474609375,7494.50173344875
90,9,SU89,8,145,11910,106,1,1211.23182011878,True,,90,2410.35133358758,1976,25,1211.23181152344,2301.34042934767
91,9,SU90,8,145,11908,106,1,5927.91070062882,True,,91,11796.5423507843,1974,25,5927.91064453125,11263.0301898623
92,9,SU91,8,145,11911,106,1,627.278017274883,True,,92,1248.28326035921,1977,25,627.278015136719,1191.8282178668
93,9,SU92,8,145,11908,105,1,2289.66456922227,True,,93,4556.43251458825,1974,23,2289.66455078125,4350.36262693245
94,9,SU93,8,145,11906,105,1,1000.74347480617,True,,94,1991.47952440812,1972,23,1000.74346923828,1901.41257827215
95,9,SU94,8,145,11909,105,1,715.233948873242,True,,95,1423.31556507875,1975,23,715.233947753906,1358.94448580665
96,9,SU95,8,145,11905,105,1,941.161991118464,True,,96,1872.91237130136,1971,23,941.161987304688,1788.20776068603
97,9,SU96,8,145,11910,105,1,352.298211314923,True,,97,701.073443876475,1976,23,352.298217773438,669.366593098911
98,9,SU97,8,145,11904,105,1,333.888176759252,True,,98,664.437474935118,1970,23,333.88818359375,634.387527882065
99,9,SU98,8,145,11911,105,1,319.704674636272,True,,99,636.212305575124,1977,23,319.704681396484,607.438874186564
100,9,SU99,8,145,11907,105,1,29.3721568658542,True,,100,58.4505924431646,1973,23,29.3721752166748,55.8070973448363
101,9,SU100,8,145,11907,4,1,6.87140144734897,True,,101,13.6740889457552,1973,32,6.87140703201294,13.0556625861361
102,9,SU101,8,145,11904,4,1,47.7015533492679,True,,102,94.9260916199606,1970,32,47.7015571594238,90.6329502263154
103,9,SU102,8,145,11911,4,1,42.6199874572968,True,,103,84.8137754464765,1977,32,42.6199913024902,80.9779751527242
104,9,SU103,8,145,11910,4,1,64.9899946365635,True,,104,129.330089946554,1976,32,64.9899978637695,123.480988259988
105,9,SU104,8,145,11908,4,1,359.827180994176,True,,105,716.056093609989,1974,32,359.827178955078,683.671635309985
106,9,SU105,8,145,11905,4,1,207.372284013862,True,,106,412.670847165242,1971,32,207.372283935547,394.007334682198
107,9,SU106,8,145,11906,4,1,211.170807423032,True,,107,420.229908785714,1972,32,211.170806884766,401.224529069055
108,9,SU107,8,145,11909,4,1,162.260100772958,True,,108,322.89760208562,1975,32,162.260101318359,308.294187600038
109,9,SU108,8,145,11911,111,1,0.0124500954414732,True,,109,0.024775690047265,1977,31,0.0124625694006681,0.0236551810419657
110,9,SU109,8,145,11905,111,1,0.0224197369381988,True,,110,0.0446152767208269,1971,31,0.0224352888762951,0.0425974996480495
111,9,SU110,8,145,11906,111,1,2.90686824026647,True,,111,5.78466782585233,1972,31,2.90688109397888,5.52304958720115
112,9,SU111,8,145,11910,111,1,0.0845199603244832,True,,112,0.168194721851767,1976,31,0.0845357626676559,0.160587922601405
113,9,SU112,8,29,11905,31,1,2642.26879212101,True,,113,4571.12506076662,1971,14,2642.26879882812,47930.7542763622
114,9,SU113,8,29,11910,31,1,991.492959836461,True,,114,1715.28283942831,1976,14,991.492980957031,17985.6816862741
115,9,SU114,8,29,11909,31,1,570.543121952873,True,,115,987.039611860716,1975,14,570.543151855469,10349.6518839932
116,9,SU115,8,29,11906,31,1,3660.73585429735,True,,116,6333.07309775741,1972,14,3660.73583984375,66405.746162618
117,9,SU116,8,29,11904,31,1,204.580934367716,True,,117,353.92502035822,1970,14,204.580963134766,3711.09802456408
118,9,SU117,8,29,11911,31,1,276.399175092899,True,,118,478.170578182611,1977,14,276.399200439453,5013.88086748452
119,9,SU118,8,29,11907,31,1,85.1994774479143,True,,119,147.395097609943,1973,14,85.1995086669922,1545.51846890353
120,9,SU119,8,29,11908,31,1,4396.56347850701,True,,120,7606.05490167493,1974,14,4396.5634765625,79753.6588166679
121,9,SU120,8,70,11910,13,1,378.797221912626,True,,121,11485.1316527911,1976,2,378.797271728516,138749.637651168
122,9,SU121,8,70,11906,13,1,1898.09498180842,True,,122,57550.2392691787,1972,2,1898.09497070312,695253.227105679
123,9,SU122,8,70,11911,13,1,12.0874384399981,True,,123,366.491129811948,1977,2,12.0874528884888,4427.50792947311
124,9,SU123,8,70,11904,13,1,180.91606001984,True,,124,5485.37488459035,1970,2,180.916091918945,66267.7451705808
125,9,SU124,8,70,11905,13,1,378.137224575397,True,,125,11465.1205337277,1971,2,1899.2099609375,138507.887220875
126,9,SU125,8,70,11907,13,1,74.0085459898192,True,,126,2243.9390918257,1973,2,74.0085983276367,27108.5909430081
127,9,SU126,8,48,11909,20,1,5.71744985565798,True,,127,435.21229871613,1975,10,5.71747732162476,414.515114535204
128,9,SU127,8,137,11909,20,1,5.71747358545468,True,,128,52.4864092593084,1975,10,5.71747732162476,49.970717828248
129,9,SU128,8,48,11911,20,1,0.0944485227344758,True,,129,7.18942180995891,1977,10,0.0944854915142059,6.84751789824949
130,9,SU129,8,70,11911,20,1,0.0925819519656223,True,,130,2.8070847553439,1977,10,0.0944854915142059,33.9118439765933
131,9,SU130,8,137,11911,20,1,0.09448142087298,True,,131,0.867339472447398,1977,10,0.0944854915142059,0.825767596804764
132,9,SU131,8,48,11905,20,1,14.8457709807697,True,,132,1130.06012783132,1971,10,14.8457880020142,1076.3183961058
133,9,SU132,8,137,11905,20,1,14.8457846136241,True,,133,136.284307283644,1971,10,14.8457880020142,129.752154125145
134,9,SU133,8,48,11907,20,1,0.57848189953936,True,,134,44.034043781784,1973,10,0.578512132167816,41.9399377166036
135,9,SU134,8,137,11907,20,1,0.578508765233283,True,,135,5.3107106413884,1973,10,0.578512132167816,5.05616647572874
136,9,SU135,8,48,11906,20,1,14.8370597227329,True,,136,1129.39702684563,1972,10,14.8370714187622,1075.68682989814
137,9,SU136,8,137,11906,20,1,14.8370689072934,True,,137,136.204297096867,1972,10,14.8370714187622,129.675978853809
138,9,SU137,8,48,11910,20,1,2.9609635484682,True,,138,225.388553441929,1976,10,2.96099138259888,214.669857263945
139,9,SU138,8,137,11910,20,1,2.96098803890034,True,,139,27.181871100727,1976,10,2.96099138259888,25.8790347822726
140,9,SU139,8,70,11908,20,1,32.8172718659877,True,,140,995.01967296171,1974,10,32.8172760009766,12020.6387922137
141,9,SU140,8,137,11908,20,1,32.8172739598186,True,,141,301.262584966172,1974,10,32.8172760009766,286.822966897536
142,9,SU141,8,48,11904,20,1,1.41416013118991,True,,142,107.645873070283,1970,10,1.41418898105621,102.526609511269
143,9,SU142,8,137,11904,20,1,1.41418571187736,True,,143,12.9822252666094,1970,10,1.41418898105621,12.3599827981267
144,9,SU143,8,142,11907,18,1,15.6552246193275,True,,144,143.714966783022,1973,8,15.6552305221558,136.826659589726
145,9,SU144,8,142,11910,18,1,80.1279625758316,True,,145,735.574720899248,1976,8,80.1279678344727,700.318374572933
146,9,SU145,8,142,11908,18,1,888.074768245728,True,,146,8152.5266435147,1974,8,888.074768066406,7761.77327120348
147,9,SU146,8,142,11905,18,1,401.744779058103,True,,147,3688.01719435616,1971,8,401.744781494141,3511.24927701574
148,9,SU147,8,70,11904,18,1,38.2695490471268,True,,148,1160.33271542995,1970,8,38.2696495056152,14017.7534474824
149,9,SU148,8,142,11904,18,1,38.2696395956226,True,,149,351.315303166783,1970,8,38.2696495056152,334.476641306516
150,9,SU149,8,142,11909,18,1,154.721780953826,True,,150,1420.34599637347,1975,8,154.721786499023,1352.26833012344
151,9,SU150,8,70,11911,18,1,2.55686938356682,True,,151,77.5242789294512,1977,8,2.55689024925232,936.555708354938
152,9,SU151,8,142,11911,18,1,2.55688150669266,True,,152,23.4721730117369,1977,8,2.55689024925232,22.3471437832701
153,9,SU152,8,70,11906,18,1,401.508936070697,True,,153,12173.7508191327,1972,8,401.508941650391,147068.711624198
154,9,SU153,8,142,11906,18,1,401.508938474869,True,,154,3685.8521777301,1972,8,401.508941650391,3509.18803037225
155,9,SU154,8,67,11910,7,1,1.94630392366046,True,,155,886.307890259935,1976,18,1.94630408287048,9190.17437887912
156,9,SU155,8,67,11911,7,1,0.374251053798497,True,,156,170.426446706157,1977,18,0.374251216650009,1767.16102972183
157,9,SU156,8,67,11904,7,1,0.566093862861924,True,,157,257.787826034193,1970,18,0.566094040870667,2673.01588989756
158,9,SU157,8,67,11908,7,1,13.2957429070177,True,,158,6054.61546991833,1974,18,13.2957429885864,62780.6347851531
159,9,SU158,8,67,11909,7,1,1.94767086505324,True,,159,886.930368038054,1975,18,1.94767105579376,9196.62888457715
160,9,SU159,8,67,11907,7,1,0.24855888137709,True,,160,113.188744615166,1973,18,0.248559072613716,1173.66020563657
161,9,SU160,8,67,11905,7,1,6.85552968027168,True,,161,3121.87113927638,1971,18,6.85552978515625,32370.8504388082
162,9,SU161,8,67,11906,7,1,8.33505056606428,True,,162,3795.61536747284,1972,18,8.33505058288574,39356.9407263186
