"CountyId","CountyName","StateId","StateAbbreviation","FIPS","GrowingAreaId","FractionSoilOrganicMatter","SoilOrganicMatterPlantAvailableNPerAcre"
1,New Castle,2,de,"10003",1,0.015,45.0
2,Sussex,2,de,"10005",1,0.015,45.0
3,Baltimore,3,md,"24005",2,0.015,45.0
4,Carroll,3,md,"24013",2,0.015,45.0
5,Cecil,3,md,"24015",2,0.015,45.0
6,Frederick,3,md,"24021",2,0.015,45.0
7,Harford,3,md,"24025",2,0.015,45.0
8,Howard,3,md,"24027",2,0.015,45.0
9,Montgomery,3,md,"24031",2,0.015,45.0
10,District of Columbia,1,dc,"11001",3,0.015,45.0
11,Anne Arundel,3,md,"24003",3,0.015,45.0
12,Calvert,3,md,"24009",3,0.015,45.0
13,Caroline,3,md,"24011",3,0.015,45.0
14,Charles,3,md,"24017",3,0.015,45.0
15,Dorchester,3,md,"24019",3,0.015,45.0
16,Kent,3,md,"24029",3,0.015,45.0
17,Prince Georges,3,md,"24033",3,0.015,45.0
18,Queen Annes,3,md,"24035",3,0.015,45.0
19,St. Marys,3,md,"24037",3,0.015,45.0
20,Somerset,3,md,"24039",3,0.015,45.0
21,Talbot,3,md,"24041",3,0.015,45.0
22,Wicomico,3,md,"24045",3,0.015,45.0
23,Allegany,3,md,"24001",4,0.015,45.0
24,Garrett,3,md,"24023",4,0.015,45.0
25,Washington,3,md,"24043",4,0.015,45.0
26,Lycoming,6,pa,"42081",6,0.015,45.0
27,Mckean,6,pa,"42083",6,0.015,45.0
28,Potter,6,pa,"42105",6,0.015,45.0
29,Somerset,6,pa,"42111",6,0.015,45.0
30,Sullivan,6,pa,"42113",6,0.015,45.0
31,Susquehanna,6,pa,"42115",6,0.015,45.0
32,Tioga,6,pa,"42117",6,0.015,45.0
33,Wayne,6,pa,"42127",6,0.015,45.0
34,Wyoming,6,pa,"42131",6,0.015,45.0
35,Luzerne,6,pa,"42079",7,0.015,45.0
36,Mifflin,6,pa,"42087",7,0.015,45.0
37,Montour,6,pa,"42093",7,0.015,45.0
38,Northumberland,6,pa,"42097",7,0.015,45.0
39,Perry,6,pa,"42099",7,0.015,45.0
40,Schuylkill,6,pa,"42107",7,0.015,45.0
41,Snyder,6,pa,"42109",7,0.015,45.0
42,Union,6,pa,"42119",7,0.015,45.0
43,Lancaster,6,pa,"42071",8,0.015,45.0
44,Lebanon,6,pa,"42075",8,0.015,45.0
45,York,6,pa,"42133",8,0.015,45.0
46,Accomack,7,va,"51001",9,0.015,45.0
47,Arlington,7,va,"51013",9,0.015,45.0
48,Caroline,7,va,"51033",9,0.015,45.0
49,Charles City,7,va,"51036",9,0.015,45.0
50,Essex,7,va,"51057",9,0.015,45.0
51,Gloucester,7,va,"51073",9,0.015,45.0
53,Hanover,7,va,"51085",9,0.015,45.0
54,Henrico,7,va,"51087",9,0.015,45.0
55,Isle Of Wight,7,va,"51093",9,0.015,45.0
56,James City,7,va,"51095",9,0.015,45.0
57,King And Queen,7,va,"51097",9,0.015,45.0
58,King George,7,va,"51099",9,0.015,45.0
59,King William,7,va,"51101",9,0.015,45.0
60,Lancaster,7,va,"51103",9,0.015,45.0
61,Mathews,7,va,"51115",9,0.015,45.0
62,Middlesex,7,va,"51119",9,0.015,45.0
63,New Kent,7,va,"51127",9,0.015,45.0
64,Northampton,7,va,"51131",9,0.015,45.0
65,Northumberland,7,va,"51133",9,0.015,45.0
66,Prince George,7,va,"51149",9,0.015,45.0
67,Richmond,7,va,"51159",9,0.015,45.0
69,Surry,7,va,"51181",9,0.015,45.0
71,Westmoreland,7,va,"51193",9,0.015,45.0
72,York,7,va,"51199",9,0.015,45.0
73,Chesapeake City,7,va,"51550",9,0.015,45.0
74,Suffolk City,7,va,"51800",9,0.015,45.0
75,Virginia Beach City,7,va,"51810",9,0.015,45.0
76,Albemarle,7,va,"51003",10,0.015,45.0
77,Amelia,7,va,"51007",10,0.015,45.0
78,Amherst,7,va,"51009",10,0.015,45.0
79,Appomattox,7,va,"51011",10,0.015,45.0
80,Bedford,7,va,"51019",10,0.015,45.0
82,Buckingham,7,va,"51029",10,0.015,45.0
83,Campbell,7,va,"51031",10,0.015,45.0
85,Chesterfield,7,va,"51041",10,0.015,45.0
86,Culpeper,7,va,"51047",10,0.015,45.0
87,Cumberland,7,va,"51049",10,0.015,45.0
88,Dinwiddie,7,va,"51053",10,0.015,45.0
89,Fairfax,7,va,"51059",10,0.015,45.0
90,Fauquier,7,va,"51061",10,0.015,45.0
91,Fluvanna,7,va,"51065",10,0.015,45.0
93,Goochland,7,va,"51075",10,0.015,45.0
94,Greene,7,va,"51079",10,0.015,45.0
97,Loudoun,7,va,"51107",10,0.015,45.0
98,Louisa,7,va,"51109",10,0.015,45.0
100,Madison,7,va,"51113",10,0.015,45.0
102,Nelson,7,va,"51125",10,0.015,45.0
103,Nottoway,7,va,"51135",10,0.015,45.0
104,Orange,7,va,"51137",10,0.015,45.0
107,Powhatan,7,va,"51145",10,0.015,45.0
108,Prince Edward,7,va,"51147",10,0.015,45.0
109,Prince William,7,va,"51153",10,0.015,45.0
110,Rappahannock,7,va,"51157",10,0.015,45.0
111,Spotsylvania,7,va,"51177",10,0.015,45.0
112,Stafford,7,va,"51179",10,0.015,45.0
115,Alleghany,7,va,"51005",11,0.015,45.0
116,Augusta,7,va,"51015",11,0.015,45.0
117,Bath,7,va,"51017",11,0.015,45.0
119,Botetourt,7,va,"51023",11,0.015,45.0
122,Clarke,7,va,"51043",11,0.015,45.0
123,Craig,7,va,"51045",11,0.015,45.0
126,Frederick,7,va,"51069",11,0.015,45.0
127,Giles,7,va,"51071",11,0.015,45.0
129,Highland,7,va,"51091",11,0.015,45.0
131,Montgomery,7,va,"51121",11,0.015,45.0
132,Page,7,va,"51139",11,0.015,45.0
134,Roanoke,7,va,"51161",11,0.015,45.0
135,Rockbridge,7,va,"51163",11,0.015,45.0
136,Rockingham,7,va,"51165",11,0.015,45.0
139,Shenandoah,7,va,"51171",11,0.015,45.0
142,Warren,7,va,"51187",11,0.015,45.0
146,Berkeley,8,wv,"54003",12,0.015,45.0
147,Grant,8,wv,"54023",12,0.015,45.0
148,Hampshire,8,wv,"54027",12,0.015,45.0
149,Hardy,8,wv,"54031",12,0.015,45.0
150,Jefferson,8,wv,"54037",12,0.015,45.0
151,Mineral,8,wv,"54057",12,0.015,45.0
152,Monroe,8,wv,"54063",12,0.015,45.0
153,Morgan,8,wv,"54065",12,0.015,45.0
154,Pendleton,8,wv,"54071",12,0.015,45.0
155,Preston,8,wv,"54077",12,0.015,45.0
156,Tucker,8,wv,"54093",12,0.015,45.0
157,Kent,2,de,"10001",1,0.015,45.0
158,Worcester,3,md,"24047",3,0.015,45.0
159,Allegany,5,ny,"36003",5,0.015,45.0
160,Broome,5,ny,"36007",5,0.015,45.0
161,Chemung,5,ny,"36015",5,0.015,45.0
162,Chenango,5,ny,"36017",5,0.015,45.0
163,Cortland,5,ny,"36023",5,0.015,45.0
164,Delaware,5,ny,"36025",5,0.015,45.0
165,Herkimer,5,ny,"36043",5,0.015,45.0
166,Livingston,5,ny,"36051",5,0.015,45.0
167,Madison,5,ny,"36053",5,0.015,45.0
168,Oneida,5,ny,"36065",5,0.015,45.0
169,Onondaga,5,ny,"36067",5,0.015,45.0
170,Ontario,5,ny,"36069",5,0.015,45.0
171,Otsego,5,ny,"36077",5,0.015,45.0
172,Schoharie,5,ny,"36095",5,0.015,45.0
173,Schuyler,5,ny,"36097",5,0.015,45.0
174,Steuben,5,ny,"36101",5,0.015,45.0
175,Tioga,5,ny,"36107",5,0.015,45.0
176,Tompkins,5,ny,"36109",5,0.015,45.0
177,Yates,5,ny,"36123",5,0.015,45.0
194,Adams,6,pa,"42001",8,0.015,45.0
195,Bedford,6,pa,"42009",7,0.015,45.0
196,Berks,6,pa,"42011",8,0.015,45.0
197,Blair,6,pa,"42013",7,0.015,45.0
198,Bradford,6,pa,"42015",6,0.015,45.0
199,Cambria,6,pa,"42021",6,0.015,45.0
200,Cameron,6,pa,"42023",6,0.015,45.0
201,Centre,6,pa,"42027",7,0.015,45.0
202,Chester,6,pa,"42029",8,0.015,45.0
203,Clearfield,6,pa,"42033",6,0.015,45.0
204,Clinton,6,pa,"42035",6,0.015,45.0
205,Columbia,6,pa,"42037",7,0.015,45.0
206,Cumberland,6,pa,"42041",8,0.015,45.0
207,Dauphin,6,pa,"42043",8,0.015,45.0
208,Elk,6,pa,"42047",6,0.015,45.0
209,Franklin,6,pa,"42055",8,0.015,45.0
210,Fulton,6,pa,"42057",7,0.015,45.0
211,Huntingdon,6,pa,"42061",7,0.015,45.0
212,Indiana,6,pa,"42063",7,0.015,45.0
213,Jefferson,6,pa,"42065",6,0.015,45.0
214,Juniata,6,pa,"42067",7,0.015,45.0
215,Lackawanna,6,pa,"42069",6,0.015,45.0
217,Carbon,6,pa,"42025",7,0.015,45.0
219,Baltimore City,3,md,"24510",2,0.015,45.0
220,Alexandria,7,va,"51510",9,0.015,45.0
223,Buena Vista,7,va,"51530",11,0.015,45.0
224,Charlottesville City,7,va,"51540",10,0.015,45.0
225,Colonial Heights City,7,va,"51570",9,0.015,45.0
226,Covington City,7,va,"51580",11,0.015,45.0
229,Fairfax City,7,va,"51600",10,0.015,45.0
230,Falls Church City,7,va,"51610",10,0.015,45.0
232,Fredericksburg City,7,va,"51630",10,0.015,45.0
234,Hampton City,7,va,"51650",9,0.015,45.0
235,Harrisonburg City,7,va,"51660",11,0.015,45.0
236,Hopewell City,7,va,"51670",9,0.015,45.0
237,Lexington City,7,va,"51678",11,0.015,45.0
238,Lynchburg City,7,va,"51680",10,0.015,45.0
239,Manassas City,7,va,"51683",10,0.015,45.0
240,Manassas Park City,7,va,"51685",10,0.015,45.0
242,Newport News City,7,va,"51700",9,0.015,45.0
243,Norfolk City,7,va,"51710",9,0.015,45.0
245,Petersburg City,7,va,"51730",9,0.015,45.0
246,Poquoson City,7,va,"51735",9,0.015,45.0
247,Portsmouth City,7,va,"51740",9,0.015,45.0
249,Richmond City,7,va,"51760",9,0.015,45.0
252,Staunton City,7,va,"51790",11,0.015,45.0
253,Waynesboro City,7,va,"51820",11,0.015,45.0
254,Williamsburg City,7,va,"51830",9,0.015,45.0
255,Winchester City,7,va,"51840",11,0.015,45.0
